Lp.;Nazwa Muzeum;Kod pocztowy;MiejscowoúÊ;Gmina;Powiat;WojewÛdztwo;ul./Aleja/Plac/;Ulica;Numer domu;Numer lokalu;Kod pocztowy (adres pocztowy jeúli nie wystÍpuje w komÛrkach C1-G1);MiejscoúÊ (adres dodatkowy );ul./Aleja/Plac (adres dodatkowy);Ulica i numer domu (adres dodatkowy);Numer domu (adres dodatkowy;Numer lokalu (adres dodatkowy);Nazwa Organizatora /Za≥oøyciela;Nazwa Organizatora I/Za≥oøyciela;Nazwa Organizatora II/Za≥oøyciela;Nazwa Organizatora III/Za≥oøyciela;Data wpisu do PaÒstwowego Rejestru MuzeÛw                                   (dotyczy Muzeum wpisanego do PaÒstwowego Rejestru MuzeÛw);Status muzeum
399;"Muzeum Etnograficzno - Archeologiczne ""KLEISTMETAL""(w organizacji)";83-331;Øukowo PrzyjaüÒ;£apino Kartuskie;kartuski;POMORSKIE;ul.;Sosnowa;21;;;;;;;;Krystian Adamczyk;;;;;Utworzone przez osoby fizyczne
400;Muzeum Farmacji Apteki ÑPod £abÍdziemî w Bydgoszczy;85-005;Bydgoszcz;Bydgoszcz;m. Bydgoszcz;KUJAWSKO-POMORSKIE;ul.;GdaÒska;5;;;;;;;;Paulina Maria £otoszyÒska;" Bart≥omiej Jan WodyÒski wspÛlnicy Apteki Pod £abÍdziem"" P. £otoszyÒska spÛ≥ka jawna";;;;Utworzone przez osoby fizyczne
401;Muzeum Fiata 126p;43-300;Bielsko - Bia≥a;Bielsko-Bia≥a;bielski;åL•SKIE;ul.;Karpacka;44;;;;;;;;Antoni PrzychodzieÒ;;;;;Utworzone przez osoby fizyczne
402;Muzeum Fort XII Werner w Øurawicy (w†organizacji);37-710;Øurawica k. Przemyúla;Øurawica;przemyski;PODKARPACKIE;ul.;Forteczna;20;;;;;;;;S≥awomir Golonka;;;;;Utworzone przez osoby fizyczne
403;Muzeum Fotografii w Janowie Lubelskim  (w organizacji);23-300;JanÛw Lubelski;JanÛw Lubelski;janowski;LUBELSKIE;ul.;Jana Zamoyskiego;20;;;;;;;;Antoni Florczak ;;;;;Utworzone przez osoby fizyczne
404;Muzeum Frontu Wschodniego (w organizacji);03-301;Warszawa;Warszawa (Praga-PÛ≥noc);m. st. Warszawa;MAZOWIECKIE;ul.;JagielloÒska;49c;26;;;;;;;Artur Steckiewicz;;;;;Utworzone przez osoby fizyczne
405;Muzeum GÛrnictwa i Historii Z≥otego Stoku (w organizacji);57-250;Z≥oty Stok ;Z≥oty Stok ;zπbkowicki ;DOLNOåL•SKIE;ul. ;Z≥ota ;9;;;;;;;;Eløbieta Szumska ;;;;;Utworzone przez osoby fizyczne 
406;Muzeum GÛry Sowie Region Sudety w organizacji;58-250;Pieszyce;Pieszyce;dzierøoniowski;DOLNOåL•SKIE;ul.;Kamionki;12;;;;;;;;JÛzef Przeorek; Micha≥ Przeorek;;;;Utworzone przez osoby fizyczne
407;Muzeum GrÛd åredniowieczny w Brzeüniku (w organizacji);59-700;Boles≥awiec;Boles≥awiec;boles≥awiecki;DOLNOåL•SKIE;;Brzeünik;99;;;;;;;;Julita Krzecka ñ K≥onicka; Zenon K≥onicki ;;;;Utworzone przez osoby fizyczne
408;Muzeum Historii Bieszczad w Czarnej GÛrnej ;38-710;Czarna GÛrna;Czarna GÛrna;bieszczadzki;PODKARPACKIE;;Czarna GÛrna;6;;;;;;;;Rafa≥ Dudka; LeAnn Dudka ;;;;Utworzone przez osoby fizyczne
409;Muzeum Historii i Dzia≥aÒ Zbrojnych (w organizacji);99-320;Øychlin;Øychlin;kutnowski;£”DZKIE;ul.;Krasickiego;8;;;;;;;;Bogdan Szalaty;;;;;Utworzone przez osoby fizyczne
410;Muzeum Historii Gospodarki, FinansÛw i Rozwoju PrzedsiÍbiorczoúci Na Ziemiach Polskich (w organizacji);05-804;PruszkÛw;PruszkÛw;pruszkowski;MAZOWIECKIE;;skr. Poczt.;90;;;;;;;;Krzysztof KotyÒski ;;;;;Utworzone przez osoby fizyczne
411;Muzeum Historii KomputerÛw i Informatyki  (w organizacji);40-061;Katowice†;Katowice;m. Katowice;åL•SKIE;Plac;Oddzia≥Ûw M≥odzieøy PowstaÒczej;1;;;;;;;;Krzysztof Chwa≥owski;  Zbigniew Rudnicki;  Dariusz WalerjaÒski ;;;Utworzone przez osoby fizyczne
412;Muzeum Historii Modlina i Nowego Dworu Mazowieckiego (w organizacji);05-102;Nowy DwÛr Mazowiecki;Nowy DwÛr Mazowiecki ;nowodworski;MAZOWIECKIE;uL. ;Genera≥a Thommee;10;;;;;;;;Dariusz Banaszek ;;;;;Utworzone przez osoby fizyczne 
413;Muzeum Historii Ziemi Ciechanowskiej (w organizacji);06-400;CiechanÛw;CiechanÛw;ciechanowski;MAZOWIECKIE;ul.;Ks. Konrada II;9;3;;;;;;;Pawe≥ PodlasiÒski ;;;;;Utworzone przez osoby fizyczne
414;Muzeum Historyczne Broni Pancernej  (w organizacji);05-140;Serock;Serock;legionowski;MAZOWIECKIE;;Zab≥ocie åwiÍcienica;3;;;;;;;;Bogdan Powa≥a ;;;;;Utworzone przez osoby fizyczne
415;Muzeum Historyczne ,,Frontu Wschodniegoî  (w organizacji);05-120;Legionowo;Legionowo;legionowski;MAZOWIECKIE;ul.;Krucza;27;;;;;;;;Tomasz Dziczek;;;;;Utworzone przez osoby fizyczne
416;Muzeum Historyczne PÛ≥nocne Mazowsze i Garnizon RÛøan 1914- 1945  (w organizacji);06-230;RÛøan;RÛøan;makowski;MAZOWIECKIE;;Kaszewiec;52;;;;;;;;Wojciech Wielgosz;;;;;Utworzone przez osoby fizyczne
417;Muzeum Historyczne w SulejÛwku (w organizacji);05-071;SulejÛwek;SulejÛwek (Mi≥osna);miÒski;MAZOWIECKIE;ul.;Szosowa;26;;;;;;;;Robert Buczek ;;;;;Utworzone przez osoby fizyczne
418;Muzeum Historyczne Warszawa Kampinos 1939 (w organizacji);05-152;CzosnÛw KazuÒ Polski ;CzosnÛw;nowodworski;MAZOWIECKIE;ul.;Jeziorna;110;;;;;;;;Wojciech Hejnrych;;;;;Utworzone przez osoby fizyczne
419;Muzeum Historyczne - ZespÛ≥ Pa≥acowy  w Patrykozach  (w organizacji);08-311;Bielany;Bielany-Øylaki;soko≥owski;MAZOWIECKIE;;Patrykozy;29;;;;;;;;Maurycy Zajπc; Graøyna Spinkowska;;;;Utworzone przez osoby fizyczne
420;Muzeum Historyczno-Etnograficzne w Andrychowie;34-120;AndrychÛw;AndrychÛw;wadowicki;MA£OPOLSKIE;ul.;PodgÛrska;3;;;;;;;;Edward Wincenty Szlagor;;;;;Utworzone przez osoby fizyczne
421;Muzeum Historyczno Etnograficzne w Osieku (w organizacji);99-414;Kocierzew;Kocierzew Po≥udniowy;≥owicki;£”DZKIE;;Osiek DwÛr;;;;;;;;;Filip Bacciarelli;;;;;Utworzone przez osoby fizyczne
422;Muzeum Historyczno ñ Przyrodnicze ,,Pamiπtkaî;05-080;Izabelin;Izabelin C;warszawski zachodni;MAZOWIECKIE;ul.;3 Maja ;49;;;;;;;;Piotr BakoÒ ;;;;;Utworzone przez osoby fizyczne
423;Muzeum - Historyczny Dolny ålπsk (w organizacji);58-560;Jelenia GÛra;Jelenia GÛra;jeleniogÛrski;DOLNOåL•SKIE;ul. ;Sobieszowska ;38;6;;;;;;;Ma≥gorzata Piπtek ;;;;;Utworzone przez osoby fizyczne 
424;Muzeum Historycznych PojazdÛw Militarnych  i Techniki Motoryzacyjnej w Boczkach;98-240;Szadek;Szadek;zduÒskowolski;£”DZKIE;;Boczki;38;;;;;;;;Jacek KopczyÒski ;;;;;Utworzone przez osoby fizyczne
425;Muzeum Humoru i Absurdu w†Poznaniu (w organizacji);61-309;PoznaÒ;PoznaÒ (PoznaÒ-Nowe Miasto);m. PoznaÒ;WIELKOPOLSKIE;ul.;Bodawska;11;;;;;;;;Malwina £ukowska;;;;;Utworzone przez osoby fizyczne
426;Muzeum Ikon i Kultury StaroobrzÍdowcÛw  (w organizacji);12-220;Ruciane Nida;Ruciane-Nida;piski;WARMI—SKO-MAZURSKIE;;Wojnowo;76;;;;;;;;Tomasz Ludwikowski;;;;;Utworzone przez osoby fizyczne
427;Muzeum im. Micha≥a Drzyma≥y w Miasteczku KrajeÒskim (w†organizacji);89-350;Miasteczko KrajeÒskie;Miasteczko KrajeÒskie;pilski;WIELKOPOLSKIE;Plac;Wolnoúci;13;;;;;;;;Kazimierz Pospieszny ;;;;;Utworzone przez osoby fizyczne
428;Muzeum im. mjr. W≥adys≥awa Nowakowskiego ,,Øubraî;01-437;Warszawa;Warszawa (Wola);m. st. Warszawa;MAZOWIECKIE;ul.;Bolecha;90;;;;;;;;Waldemar Nowakowski ;;;;;Utworzone przez osoby fizyczne
429;Muzeum Jednostek Specjalnych i Wojsk Powietrzno - Desantowych (w organizacji) ;04-696;Warszawa;Warszawa (Wawer);m. st. Warszawa;MAZOWIECKIE;ul.;PiechurÛw;20;;;;;;;;Pawe≥ Kleszczewski ;;;;;Utworzone przez osoby fizyczne
430;"Muzeum Kaszubska Zagroda ""Bielickowo""  (w organizacji)";83-304;Przodkowo;Przodkowo;kartuski;POMORSKIE;;Kawle Dolne;7;;;;;;;;Czes≥aw Bielicki;;;;;Utworzone przez osoby fizyczne
431;Muzeum Kart do Gry (w organizacji);05-091;Zπbki;Zπbki;wo≥omiÒski;MAZOWIECKIE;ul.;Jod≥owa;22;;;;;;;;Andrzej Rzepkowski;;;;;Utworzone przez osoby fizyczne
432;Muzeum Kolekcji DwÛr Mu≥awki   (w organizacji);11-400;KÍtrzyn;KÍtrzyn;kÍtrzyÒski;WARMI—SKO-MAZURSKIE;ul.;Mu≥awki;12;2;;;;;;;Pawe≥ Lipko;;;;;Utworzone przez osoby fizyczne
433;Muzeum Kolekcji Macieja G≥owackiego;62-004;Czerwonak;OwiÒska;poznaÒski;WIELKOPOLSKIE;ul.;GdyÒska;27;1;;;;;;;Maciej G≥owacki;;;;;Utworzone przez osoby fizyczne
434;Muzeum Komunikacji w Paterku (w organizacji);89-100;Nak≥o Paterek;Paterek;nakielski;KUJAWSKO-POMORSKIE;ul.;£πkowa;34A;;;;;;;;Artur Robert LemaÒski;;;;;Utworzone przez osoby fizyczne
435;Muzeum KonfliktÛw Zbrojnych w Warszawie (w organizacji);02-715;Warszawa;Warszawa (MokotÛw);m. st. Warszawa;MAZOWIECKIE;ul.;Pu≥awska;233;4;;;;;;;Piotr Szalaty;;;;;Utworzone przez osoby fizyczne
436;Muzeum Kowalstwa i ålusarstwa MierzwiÒskich w HajnÛwce;17-200;HajnÛwka;Klejniki;hajnowski;PODLASKIE;ul.;Lipowa;1;;;;;;;;Stanis≥aw MierzwiÒski;;;;;Utworzone przez osoby fizyczne
437;Muzeum KresÛw i Ziemi Ostrowskiej im. Marzeny i Zbigniewa BanaszkÛw w Ostrowi Mazowieckiej (w organizacji);07-300;OstrÛw Mazowiecka;OstrÛw Mazowiecka;ostrowski;MAZOWIECKIE;ul.;Lubiejewska;158;;;;;;;;Zbigniew Banaszek;;;;;Utworzone przez osoby fizyczne
438;Muzeum Kultury RomÛw w Warszawie   (w organizacji);03-936;Warszawa;Warszawa (Praga-Po≥udnie);m. st. Warszawa;MAZOWIECKIE;ul.;ZwyciÍzcÛw;3-;5 m. 1 ;;;;;;;Andrzej Grzyma≥a ñ Kaz≥owski ;;;;;Utworzone przez osoby fizyczne
439;Muzeum Lalek w Pilünie;39-220;Pilzno;Pilzno;dÍbicki;PODKARPACKIE;ul.;Grodzka;24;;;;;;;;Zofia Gπga≥a-Bohaczyk;;;;;Utworzone przez osoby fizyczne
440;Muzeum Lisewski Zakπtek w Lisewie (w organizacji);87-400;Lisewo ;Golub - DobrzyÒ ;golubsko-dobrzyÒski;KUJAWSKO-POMORSKIE;;;56;;;;;;;;Tomasz StefaÒski ;;;;;Utworzone przez osoby fizyczne 
441;Muzeum LwÛweckie w LwÛwku ålπskim (w organizacji);59-600;LwÛwek ålπski;LwÛwek ålπski;lwÛwecki ;DOLNOåL•SKIE;Plac ;Wolnoúci ;22;;;;;;;;Dorota Zawadzka;Robert Zawadzki ;;;;Utworzone przez osoby fizyczne 
442;Muzeum £πcznoúci w Redzie  (w organizacji);84-240;Reda;Reda;wejherowski;POMORSKIE;ul.;Gniewowska;74;;;;;;;;Marcin Talaúka ;;;;;Utworzone przez osoby fizyczne
443;Muzeum Miasta S≥upska ;76-200;S≥upsk;S≥upsk;m. S≥upsk;POMORSKIE;ul.;Bauera;14;;;;;;;;Grzegorz Rataj ;;;;;Utworzone przez osoby fizyczne
444;Muzeum MilitariÛw ÑAtenaî w†Skwierzynie   (w organizacji);66-440;Skwierzyna;Skwierzyna;miÍdzyrzecki;LUBUSKIE;ul.;Rzeünicka;1;;;;;;;;Agnieszka Kuú ñ Ratownictwo Drogowe Anholî;;;;;Utworzone przez osoby fizyczne
445;Muzeum MilitariÛw i ArtefaktÛw w Brodnicy (w organizacji);87-300;Brodnica Karbowo;Brodnica;brodnicki;KUJAWSKO-POMORSKIE;ul.;Wczasowa;40a;;;;;;;;Grzegorz Kalisz ;;;;;Utworzone przez osoby fizyczne
446;Muzeum Militarnej Historii w Bornem Sulinowie;78-449;Borne Sulinowo;Borne Sulinowo;szczecinecki;ZACHODNIO-POMORSKIE;ul.;Wojska Polskiego;1;;;;;;;;Wies≥aw Bartoszek; Agnieszka Bartoszek; Kamil Bartoszek ;;;Utworzone przez osoby fizyczne
447;Muzeum Mineralogiczne ze zbiorÛw Renaty Soko≥owskiej w Szklarskiej PorÍbie;58-580;Szklarska PorÍba;Szklarska PorÍba;jeleniogÛrski;DOLNOåL•SKIE;ul.;KiliÒskiego;20;;;;;;;;Renata Soko≥owska;;;;;Utworzone przez osoby fizyczne
448;Muzeum Miniaturowej Sztuki Profesjonalnej Henryk Jan Dominiak w Tychach ;43-100;Tychy;Tychy;m. Tychy;åL•SKIE;ul.;Øwakowska;8;66;;;;;;;Henryk Jan Dominiak ;;;;;Utworzone przez osoby fizyczne
449;Muzeum M≥ynarstwa i Rolnictwa w Osiecznej;64-100;Leszno;Leszno;m. Leszno;WIELKOPOLSKIE;ul.;Dekana;8;;;;;;;;Jaros≥aw Jankowski;;;;;Utworzone przez osoby fizyczne
450;Muzeum M≥ynarstwa, Techniki i Rzemios≥a Wiejskiego im. JÛzefa Winiarskiego (w organizacji);33-316;RoønÛw;RoønÛw;nowosπdecki;MA£OPOLSKIE;;Roztoka Brzeziny;105;;;;;;;;Micha≥ Winiarski;;;;;Utworzone przez osoby fizyczne
451;Muzeum Motocykli Zabytkowych w StÍøycy ;83-322;StÍøyca;Go≥ubie;kartuski;POMORSKIE;ul.;Marii Konpnickiej;4;;;;;;;;Jaros≥aw Czapiewski ;;;;;Utworzone przez osoby fizyczne
452;Muzeum Motoryzacji   (w organizacji);34-143;Lanckorona;Lanckorona;wadowicki;MA£OPOLSKIE;;Lanckorona;290;;;;;;;;JÛzef ZarÍba ;;;;;Utworzone przez osoby fizyczne
453;"Muzeum Motoryzacji i Techniki ,,SKARB NARODU"" w Warszawie (w organizacji)";02-384;Warszawa;Warszawa (Ochota);m. st. Warszawa;MAZOWIECKIE;ul.;W≥odarzewska;51d;3;;;;;;;Robert Bryka≥a ;;;;;Utworzone przez osoby fizyczne
454;Muzeum Motoryzacji i Techniki w Opaczy Kolonii  (w organizacji);05-816;Opacz Kolonia;Micha≥owice-Osiedle;pruszkowski;MAZOWIECKIE;ul.;Mokra;6;;;;;;;;Tomasz Graczyk;;;;;Utworzone przez osoby fizyczne
455;Muzeum Motoryzacji i Techniki w Radomiu (w organizacji);26-600;Radom ;Radom ;radomski;MAZOWIECKIE;ul. ;Lubelska ;8;1;;;;Lubelska ;8;9;Artur KwiecieÒ ;;;;;Utworzone przez osoby fizyczne 
456;Muzeum Motoryzacji i Wojskowoúci w Tanowie (w organizacji);72-004;Tanowo;Szczecin;m. Szczecin;ZACHODNIO-POMORSKIE;ul.;SzczeciÒska;16A;;;;;;;;Leszek Budy≥owski ;;;;;Utworzone przez osoby fizyczne
457;Muzeum Motoryzacji w Bystrej (w†organizacji);34-235;Bystra;Bystra;suski;MA£OPOLSKIE;ul.;Bystra;502;;;;;;;;Micha≥ Krauze;;;;;Utworzone przez osoby fizyczne
458;Muzeum Narwi w Tykocinie (w organizacji);16-080;Tykocin ;Tykocin ;bia≥ostocki;PODLASKIE;ul. ;Browarna ;17;;;;;;;;Adam Rudawski ;;;;;Utworzone przez osoby fizyczne 
459;Muzeum Obrony Wybrzeøa w åwinoujúciu;72-602;åwinoujúcie;åwinoujúcie;m. åwinoujúcie;ZACHODNIO-POMORSKIE;ul.;Bunkrowa;2;;;;;;;;Piotr Piwowarczyk;;;;;Utworzone przez osoby fizyczne
460;Muzeum Operacji i Dzia≥aÒ Specjalnych (w organizacji);67-400;Wschowa;Wschowa;wschowski;LUBUSKIE;ul.;S≥owackiego;3;;;;;;;;Piotr Maka≥a ;;;;;Utworzone przez osoby fizyczne
461;Muzeum OrÍøa i Techniki Uøytkowej im. ks. gen. Stanis≥awa BrzÛski w £ukowie  (w organizacji);21-400;£ukÛw;£ukÛw;≥ukowski;LUBELSKIE;ul.;Farfak;42;;;;;;;;Jan Janusz JastrzÍbski;;;;;Utworzone przez osoby fizyczne
462;Muzeum OrÍøa i Techniki Ziemi Zamojskiej  (w organizacji);22-420;SkierbieszÛw;SkierbieszÛw;zamojski;LUBELSKIE;ul.;1 Maja;31;;;;;;;;Marcin Potocki;;;;;Utworzone przez osoby fizyczne
463;Muzeum OrÍøa im. Oddzia≥Ûw Partyzanckich Ziemi Opatowskiej w MÍczennicach  (w organizacji);27-540;Lipnik;Malice Koúcielne;opatowski;åWI TOKRZYSKIE;ul.;MÍczennice;8;;;;;;;;Janusz Or≥owski;;;;;Utworzone przez osoby fizyczne
464;Muzeum Pacowa Chata w Krypnie Wielkim (w organizacji);19-111;Krypno Koúcielne;Bia≥obrzeskie;moniecki;PODLASKIE;ul.;Krypno Wielkie ;119;;;;;;;;Tomasz Pac;;;;;Utworzone przez osoby fizyczne
465;Muzeum Pa≥acowe Garnizonu Biedrusko (w organizacji);62-003;Biedrusko;Biedrusko;poznaÒski;WIELKOPOLSKIE;ul.;1 Maja;82;;;;;;;;Jan Kucharski ;;;;;Utworzone przez osoby fizyczne
466;Muzeum ,,Patria Colbergiensisî w Ko≥obrzegu ;78-100;Ko≥obrzeg;Ko≥obrzeg;ko≥obrzeski;ZACHODNIO-POMORSKIE;ul.;Armii Krajowej;12;;;;;;;;Robert Aleksander Maziarz;;;;;Utworzone przez osoby fizyczne
467;Muzeum Piúmiennictwa i Drukarstwa w GrÍbocinie;87-122;GrÍbocin;GrÍbocin;toruÒski;KUJAWSKO-POMORSKIE;ul.;Szkolna;31;;;;;;;;Dariusz Subocz;;;;;Utworzone przez osoby fizyczne
468;Muzeum PojazdÛw Historycznych ÑPolskie Drogiî w Busku ñ Zdroju (w organizacji);28-100;Busko ñ ZdrÛj;Busko-ZdrÛj;buski;åWI TOKRZYSKIE;ul.;Øeromskiego;12A;;;;;;;;Edyta £ukasik; Marcin £ukasik;;;;Utworzone przez osoby fizyczne
469;Muzeum PojazdÛw Militarnych i Uzbrojenia (w organizacji);62-081;Przeümierowo;Dπbrowa;poznaÒski;WIELKOPOLSKIE;ul.;Piaskowa;17;;;;;;;;Anna Paczkowska-Jarecka;;;;;Utworzone przez osoby fizyczne
470;Muzeum PojazdÛw Militarnych w CzÍstochowie (w organizacji);42-200;CzÍstochowa;Nowa Wieú;czÍstochowski;åL•SKIE;ul.;Bukowa;25;;;;;;;;Karol Woldan;;;;;Utworzone przez osoby fizyczne
471;Muzeum Polskiej Motoryzacji XX wieku ,,Polska na Ko≥achî w†Busku ñ Zdroju (w organizacji);28-100;Busko ñ ZdrÛj;Busko-ZdrÛj;buski;åWI TOKRZYSKIE;ul.;Podgaje;9;;;;;;;;Wojciech £ukasik; Arkadiusz £ukasik; Zofia £ukasik;;;Utworzone przez osoby fizyczne
472;Muzeum PÛl Bitewnych Pomorza (w organizacji);84-217;Szemud;Szemud;wejherowski;POMORSKIE;ul. ;Wejherowska ;27;;;;;;;;Piotr Sroka ;;;;;Utworzone przez osoby fizyczne
473;Muzeum 1 Pu≥ku StrzelcÛw Konnych   w Garwolinie                                                                                    (w organizacji);08-400;Garwolin;Garwolin;garwoliÒski;MAZOWIECKIE;ul.;Jana Paw≥a II;44a;;;;;;;;Przemys≥aw Makulec;;;;;Utworzone przez osoby fizyczne
474;Muzeum PrzedmiotÛw Historycznych i Zapomnianych;84-250;Gniewino Bychowo;Gniewino;wejherowski;POMORSKIE;;;38;;;;;;;;Jacek Bagnecki;;;;;Utworzone przez osoby fizyczne
475;Muzeum Przemys≥u i Kolejnictwa na ålπsku;58-140;Jaworzyna ålπska;Jaworzyna ålπska;úwidnicki;DOLNOåL•SKIE;ul.;Towarowa;2;;;;;;;;Piotr Gerber;;;;;Utworzone przez osoby fizyczne
476;Muzeum Przemys≥u Wojennego w PogÛrzu   (w organizacji);43-430;SkoczÛw PogÛrze;DÍbowiec;cieszyÒski;åL•SKIE;ul.;Zamek;54;;;;;;;;Przemys≥aw Michalski ;;;;;Utworzone przez osoby fizyczne
477;Muzeum Przyrodnicze w Turzynie (w organizacji);89-240;Kcynia;Kcynia;nakielski;KUJAWSKO-POMORSKIE;;Turzyn;2;;;;;;;;Andrzej Morawski;;;;;Utworzone przez osoby fizyczne
478;Muzeum Radiotechniki (w organizacji);85-112;Bydgoszcz;Bydgoszcz;m. Bydgoszcz;KUJAWSKO-POMORSKIE;ul.;Mennica;2A;;;;;;;;Maria Kujawska; Jerzy Kujawski; Piotr Kujawski;;;Utworzone przez osoby fizyczne
479;Muzeum Regionalne ,,Jama MichalikÛwî w Serocku (w†organizacji);21-136;Firlej;Firlej;lubartowski;LUBELSKIE;;Serock;207;;;;;;;;Zygmunt Jan Michalik ;;;;;Utworzone przez osoby fizyczne
480;Muzeum Regionalne w Kierzkowie;74-300;MyúlibÛrz;MyúlibÛrz;myúliborski;ZACHODNIO-POMORSKIE;;KierzkÛw;6;;;;;;;;Miros≥aw WÛjcik;;;;;Utworzone przez osoby fizyczne
481;Muzeum Regionalne w Ruks M≥ynie  (w organizacji);64-600;Oborniki;Oborniki;obornicki;WIELKOPOLSKIE;;Ruks M≥yn;1;;;;;;;;Jan Czartoszewski  i Joanna Czartoszewska ;;;;;Utworzone przez osoby fizyczne
482;Muzeum Regionalnego Pogranicza i MiÍdzyrzeckiego Rejonu Umocnionego  w Ka≥awie (w organizacji);66-300;MiÍdzyrzecz;MiÍdzyrzecz;miÍdzyrzecki;LUBUSKIE;;Ka≥awa;68A;;;;;;;;Piotr Szlachtycz;;;;;Utworzone przez osoby fizyczne
483;Muzeum Saperskie ÑExplosiveî (w organizacji);80-001;GdaÒsk;GdaÒsk;m. GdaÒsk;POMORSKIE;;Trakt úw. Wojciecha;336;;;;;;;;Piotr Bik;;;;;Utworzone przez osoby fizyczne
484;Muzeum - Skansen M≥ynarstwa w Øukowie (w organizacji) ;83-330;Øukowo;Øukowo;kartuski;POMORSKIE;ul.;Parkowa;1;;;;;;;;Maria Kujawska; Jerzy Kujawski; Piotr Kujawski ;;;Utworzone przez osoby fizyczne
485;Muzeum ñ Skansen w Ochabach ñ Tradycyjna Zagroda Rolna ;43-430;SkoczÛw;DÍbowiec;cieszyÒski;åL•SKIE;ul.;G≥Ûwna;177;;;;;;;;Urszula i Maciej Bieniek ;;;;;Utworzone przez osoby fizyczne
486;Muzeum S≥uøb Mundurowych w GdaÒsku (w organizacji);80-863 ;"GdaÒsk 
";GdaÒsk;m. GdaÒsk;POMORSKIE;ul. ;Doki ;1;budynek 131 A; ;;;;;;Krzysztof Wojtaú;Jakub Kwiatkowski ;;;;Utworzone przez osoby fizyczne 
487;Muzeum Spadochroniarstwa i Wojsk Specjalnych w organizacji ;43-460;Wis≥a;Wis≥a;cieszyÒski;åL•SKIE;ul.;Przylesie;1a;;;;;;;;Piotr Wybraniec ;;;;;Utworzone przez osoby fizyczne
488;Muzeum SprzÍtu Wojskowego w Mrπgowie;11-700;Mrπgowo;Mrπgowo;mrπgowski;WARMI—SKO-MAZURSKIE;ul.;Przemys≥owa;11C;;;;;;;;S≥awomir Trzeciakiewicz;;;;;Utworzone przez osoby fizyczne
489;Muzeum SprzÍtu Wojskowego we Wroc≥awiu (w organizacji);52-218;Wroc≥aw;Wroc≥aw (Wroc≥aw-Krzyki);m. Wroc≥aw;DOLNOåL•SKIE;ul.;Gen. Grota-Roweckiego;71B;;;;;;;;Zbigniew £ukaszczuk;;;;;Utworzone przez osoby fizyczne
490;"Muzeum Strategii i Taktyki Dzia≥aÒ Zbrojnych ""CLAUSEWITZ"" (w organizacji)";02-972;Warszawa;Warszawa (WilanÛw);m. st. Warszawa;MAZOWIECKIE;ul.;Sarmacka;9;104;;;;;;;Maciej Szalaty;;;;;Utworzone przez osoby fizyczne
491;"Muzeum Sztuki Inøynierskiej  ,,KOPRAS"" w Fia≥kowie (w organizacji)";62-070;Fia≥kowo ;Dopiewo ;poznaÒski;WIELKOPOLSKIE;; ;1;;;;;;;;Zbigniew Kopras ;;;;;Utworzone przez osoby fizyczne 
492;Muzeum Sztuki Polskiej w Sopocie;81-707;Sopot;Sopot;m. Sopot;POMORSKIE;ul.;Jana Jerzego Haffnera;54;5;;;;;;;Juliusz Windorbski;;;;;Utworzone przez osoby fizyczne
493;Muzeum ålπskiego Wrzeúnia 1939 roku   (w organizacji);43-100;Tychy;Tychy;m. Tychy;åL•SKIE;ul.;Brzozowa;24;;;;;;;;Arkadiusz Dominiec ;;;;;Utworzone przez osoby fizyczne
494;Muzeum åwiatowego OrÍøa i Wojskowoúci w organizacji;02-814;Warszawa;Warszawa (UrsynÛw);m. st. Warszawa;MAZOWIECKIE;ul.;S≥onki;5H;;;;;;;;Pawe≥ Øerdzicki ;;;;;Utworzone przez osoby fizyczne
495;Muzeum Techniki Bojowej w Olszynie  (w organizacji);59-830;Olszyna;Olszyna;lubaÒski;DOLNOåL•SKIE;ul.;Wolnoúci;60c;;;;;;;;Aneta S≥awiÒska; Krzysztof S≥awiÒski;;;;Utworzone przez osoby fizyczne
496;Muzeum Techniki i Machin Wojennych w Gnieünie;62-200;Gniezno;Gniezno;gnieünieÒski;WIELKOPOLSKIE;ul.;åw. Micha≥a;10;;;;;;;;Mateusz Hen;;;;;Utworzone przez osoby fizyczne
497;Muzeum Techniki i Rzemios≥a (w organizacji);94-294;£Ûdü;£Ûdü;m. £Ûdü;£”DZKIE;ul.;PodhalaÒska;113;2;;;;;;;Janusz Prπtnicki;;;;;Utworzone przez osoby fizyczne
498;Muzeum Techniki i Rzemios≥a Wiejskiego  w Zapuúcie (w†organizacji);59-830;Olszyna LubaÒska;Olszyna;lubaÒski;DOLNOåL•SKIE;;Zapusta;28;;;;;;;;Aneta Tyl; Krzysztof Tyl;;;;Utworzone przez osoby fizyczne
499;Muzeum Techniki i Techniki Wojskowej ,,TYTANî (w†organizacji);76- 142;Malechowo;Malechowo;s≥awieÒski;ZACHODNIO-POMORSKIE;;Malechowo;27b;;;;;;;;Marian Laskowski ;;;;;Utworzone przez osoby fizyczne
500;Muzeum Techniki Militarnej (w organizacji);05-311;DÍbe Wielkie;DÍbe Wielkie;miÒski;MAZOWIECKIE;ul.;Polna;15c;;;;;;;;Bogdan Korziuk;;;;;Utworzone przez osoby fizyczne
501;"Muzeum Techniki Militarnej i Cywilnej ,,MARS"" (w organizacji)";78-611;Szwecja;Szwecja;wa≥ecki;ZACHODNIO-POMORSKIE;ul.;GÛrna;1;;;;;;;;Piotr Letki; Rafa≥ Letki ;;;;Utworzone przez osoby fizyczne
